"","player.x","n","player_id","team","team_id","position","SBgoals","SBapp","pos","player.y","club","total","rn","dist"
"43","JUNIOR FIRPO",47,110291,"LEEDS",1524,"D",4,35,"D","JUNIOR FIRPO","Leeds",4,46,0
"44","JUNIOR QUITIRNA",63,134280,"WYCOMBE",2898,"M",8,36,"D","JUNIOR FIRPO","Leeds",4,46,0.216666666666667
"45","LIAM GORDON",39,99570,"PORT VALE",2083,"D",4,52,"D","LIAM GORDON","Walsall",4,47,0
"46","MARC ROBERTS",45,71519,"BARNSLEY",208,"D",4,41,"D","MARC ROBERTS","Barnsley",4,48,0
"47","MARK MCGUINNESS",51,126311,"LUTON",1628,"D",4,45,"D","MARK MCGUINNESS","Luton",4,50,0
"48","MATEJ JURASEK",71,135635,"NORWICH CITY",1855,"M",1,11,"D","MATTHEW BAKER","Newport",4,51,0.260683760683761
"49","MATTY PLATT",49,96140,"NOTTS COUNTY",1871,"D",4,50,"D","MATTY PLATT","Notts County",4,52,0
"50","PAUDIE O'CONNOR",47,107311,"READING",2125,"D",4,43,"D","PAUDIE O'CONNOR","Lincoln",4,53,0
"51","PEDRO PORRO",57,109228,"TOTTENHAM",2590,"D",4,51,"D","PEDRO PORRO","Tottenham",4,54,0
"52","RYAN SESSEGNON",71,94024,"FULHAM",1055,"M",4,22,"D","RYAN SESSEGNON","Fulham",4,55,0
"53","SHANE DUFFY",55,51537,"NORWICH CITY",1855,"D",4,47,"D","SHANE DUFFY","Norwich",4,57,0
"54","TIMOTHEE DIENG",41,62231,"GILLINGHAM",1098,"D",4,29,"D","TIMOTHÉE DIENG","Cheltenham",4,58,0.0989010989010989
"55","TOSIN ADARABIOYO",57,89269,"CHELSEA",536,"D",4,37,"D","TOSIN ADARABIOYO","Chelsea",4,59,0
"56","TRISTAN CRAMA",59,168588,"MILLWALL",1699,"D",4,46,"D","TRISTAN CRAMA","Exeter",4,61,0
"57","AARON PIERRE",51,68246,"SHREWSBURY",2325,"D",3,34,"D","AARON PIERRE","Shrewsbury",3,63,0
"58","ANEL AHMEDHODZIC",51,96807,"SHEFFIELD UNITED",2328,"D",3,42,"D","ANEL AHMEDHODZIC","Sheffield United",3,64,0
"59","BAE JUN-HO",75,157959,"STOKE",2477,"M",3,49,"D","ARKELL JUDE-BOYD","Cheltenham",3,66,0.2875
"60","ARKELL JUDE-BOYD",43,170911,"CHELTENHAM",579,"D",3,37,"D","ARKELL JUDE-BOYD","Cheltenham",3,66,0
"61","BEN GIBSON",55,54425,"STOKE",2477,"D",3,25,"D","BEN GIBSON","Stoke",3,67,0
"62","BEN WILMOT",47,97353,"STOKE",2477,"D",3,42,"D","BEN WILMOT","Stoke",3,69,0
"63","BRODIE SPENCER",41,161296,"OXFORD",1964,"D",3,34,"D","BRODIE SPENCER","Huddersfield",3,70,0
"64","BRYN MORRIS",81,68839,"HARROGATE",1222,"M",3,42,"D","BRYN MORRIS","Newport",3,71,0
"65","CAMERON MCJANNET",45,96572,"GRIMSBY",1148,"D",3,44,"D","CAMERON MCJANNETT","Grimsby",3,72,0.0196078431372548
"66","CAMERON NORMAN",45,88887,"TRANMERE",2598,"D",3,44,"D","CAMERON NORMAN","Tranmere",3,73,0
"67","CARL PIERGIANNI",49,54258,"STEVENAGE",2499,"D",3,46,"D","CARL PIERGIANNI","Stevenage",3,74,0
"68","NEIL FARRUGIA",77,118762,"BARNSLEY",208,"M",2,22,"D","CARL PIERGIANNI","Stevenage",3,74,0.254700854700855
"69","CONNOR O'RIORDAN",43,143903,"DONCASTER",800,"D",3,25,"D","CONNOR O'RIORDAN","Crewe",3,75,0
"70","CRAIG FORSYTH",47,45364,"DERBY",747,"D",3,42,"D","CRAIG FORSYTH","Derby",3,76,0
"71","DANIEL BARLASER",71,88144,"MIDDLESBROUGH",1697,"M",1,26,"D","DANIEL BALLARD","Sunderland",3,77,0.155952380952381
"72","DAN BALLARD",47,116942,"SUNDERLAND",2493,"D",3,23,"D","DANIEL BALLARD","Sunderland",3,77,0.132034632034632
"73","DENNIS CIRKIN",45,128858,"SUNDERLAND",2493,"D",3,39,"D","DENNIS CIRKIN","Sunderland",3,79,0
"74","DI'SHON BERNARD",45,123374,"SHEFFIELD WEDNESDAY",2330,"D",3,31,"D","DI'SHON BERNARD","Sheffield Wednesday",3,80,0
"75","DONOVAN PINES",47,118403,"BARNSLEY",208,"D",3,26,"D","DONOVAN PINES","Barnsley",3,81,0
"76","EZRI KONSA",53,89575,"ASTON VILLA",154,"D",3,50,"D","EZRI KONSA","Aston Villa",3,82,0
"77","HARRY WILLIAMS",55,133514,"WALSALL",2737,"D",3,38,"D","HARRY WILLIAMS","Walsall",3,83,0
"78","JAKE COOPER",45,74273,"MILLWALL",1699,"D",3,40,"D","JAKE COOPER","Millwall",3,84,0
"79","JAMES HUSBAND",45,57439,"BLACKPOOL",317,"D",3,37,"D","JAMES HUSBAND","Blackpool",3,85,0
"80","JAMIE GRIMES",45,51949,"CHESTERFIELD",656,"D",3,37,"D","JAMIE GRIMES","Chesterfield",3,86,0
"81","JAMIE GITTENS",125,159590,"CHELSEA",536,"F",4,14,"D","JAMIE GRIMES","Chesterfield",3,86,0.132478632478632
"82","JAMIE KNIGHT-LEBEL",43,181642,"BRISTOL CITY",376,"D",3,35,"D","JAMIE KNIGHT-LEBEL","Crewe",3,87,0
"83","JASPER MOON",64,115892,"BURTON",427,"D",3,43,"D","JASPER MOON","Harrogate",3,89,0
"84","JOHN STONES",49,59460,"MANCHESTER CITY",1718,"D",3,20,"D","JOHN STONES","Manchester City",3,90,0
"85","JON MELLISH",41,102623,"WIGAN",2783,"D",3,46,"D","JON MELLISH","Wigan",3,91,0
"86","JOSEPH OLOWU",41,116147,"STOCKPORT",2473,"D",3,37,"D","JOSEPH OLOWU","Doncaster",3,92,0
"87","LLOYD JONES",51,70093,"CHARLTON",527,"D",3,41,"D","LLOYD JONES","Charlton",3,93,0
