"num","pos","player.x","player.y","club","team","league","total","player_id","dist","check_needed"
56,"D","CARL PIERGIANNI","CARL PIERGIANNI","Stevenage","Stevenage","L1",3,54258,0,FALSE
57,"D","CEDRIC KIPRE","CEDRIC KIPRE","Ipswich","Ipswich","PL",3,88113,0,FALSE
58,"D","CHRISTOPH KLARER","CHRISTOPH KLARER","Birmingham","Birmingham","CH",3,107794,0,FALSE
59,"D","CIARON BROWN","CIARON BROWN","Oxford","Oxford","L1",3,94472,0,FALSE
60,"D","CONNOR BARRETT","CONNOR BARRETT","Walsall","Wigan","L1",3,144192,0,FALSE
61,"D","DAEL FRY","DAEL FRY","Middlesbrough","Birmingham","CH",3,86870,0,FALSE
62,"D","DAN CASEY","DAN CASEY","Wycombe","Wycombe","L1",3,96486,0,FALSE
63,"D","DANNY COLLINGE","DANNY COLLINGE","Barnet","Barnet","L2",3,74869,0,FALSE
64,"D","DEJI ELEREWE","DEJI ELEREWE","Bromley","Lincoln","CH",3,143709,0,FALSE
65,"D","DENZEL HALL","DENZEL HALL","Rotherham","Rotherham","L2",3,121681,0,FALSE
66,"D","EOIN TOAL","EOIN TOAL","Bolton","Bolton","CH",3,105812,0,FALSE
67,"D","HARVEY RODGERS","HARVEY RODGERS","Grimsby","Grimsby","L2",3,95743,0,FALSE
68,"D","JACK GRIMMER","JACK GRIMMER","Wycombe","Wycombe","L1",3,53589,0,FALSE
69,"D","JAMES CONNOLLY","JAMES CONNOLLY","Crewe","Walsall","L2",3,149130,0,FALSE
71,"D","JAN PAUL VAN HECKE","JAN PAUL VAN HECKE","Brighton","Tottenham","PL",3,116885,0,FALSE
72,"D","JANNIK VESTERGAARD","JANNIK VESTERGAARD","Leicester","Leicester","L1",3,58181,0,FALSE
73,"D","JAYDEN JOSEPH","JAYDEN JOSEPH","Tranmere","Leicester","L1",3,171217,0,FALSE
74,"D","JAYDEN SWEENEY","JAYDEN SWEENEY","Grimsby","Grimsby","L2",3,122977,0,FALSE
75,"D","JEREMY NGAKIA","JEREMY NGAKIA","Watford","Watford","CH",3,117105,0,FALSE
76,"D","JIMMY DUNNE","JIMMY DUNNE","QPR","QPR","CH",3,104226,0,FALSE
77,"D","JOE RAFFERTY","JOE RAFFERTY","Rotherham","Rotherham","L2",3,66012,0,FALSE
78,"D","JOE WRIGHT","JOE WRIGHT","Bradford","Bradford","L1",3,73429,0,FALSE
79,"D","JOE WRIGHT","JOE WRIGHT","Bradford","Barnet","L2",3,133354,0,FALSE
80,"D","JOHN EGAN","JOHN EGAN","Hull","Hull","CH",3,62920,0,FALSE
81,"D","JORDI OSEI-TUTU","JORDI OSEI-TUTU","Bolton","Bolton","CH",3,108548,0,FALSE
82,"D","KAL NAISMITH","KAL NAISMITH","Luton","Luton","L1",3,62081,0,FALSE
83,"D","KONSTANTINOS MAVROPANOS","KONSTANTINOS MAVROPANOS","West Ham","West Ham","CH",3,95481,0,FALSE
84,"D","LEWIS FREESTONE","LEWIS FREESTONE","Stevenage","Stevenage","L1",3,96031,0,FALSE
85,"D","LEWIS SHIPLEY","LEWIS MILEY","Barrow","Newcastle","PL",3,166509,0.107226107226107,TRUE
86,"D","LIAM LINDSAY","LIAM LINDSAY","Preston","Preston","CH",3,71286,0,FALSE
87,"D","LUCA HOOLE","LUCA HOOLE","Shrewsbury","Shrewsbury","L2",3,123218,0,FALSE
88,"D","LUCAS NESS","LUCAS NESS","Notts County","Notts County","L1",3,145981,0,FALSE
89,"D","LUKE OFFORD","LUKE OFFORD","Milton Keynes","Crewe","L2",3,109180,0,FALSE
90,"D","MALO GUSTO","MALO GUSTO","Chelsea","Chelsea","PL",3,134991,0,FALSE
91,"D","MARCUS IFILL","MARCUS IFILL","Bromley","Bromley","L1",3,124487,0,FALSE
92,"D","MATT CLARKE","MATT CLARKE","Derby","Derby","CH",3,74339,0,FALSE
93,"D","MATTY CASH","MATTY CASH","Aston Villa","Aston Villa","PL",3,90314,0,FALSE
94,"D","MAX CLARK","MAX CLARK","Gillingham","Gillingham","L2",3,90682,0,FALSE
95,"D","MAX CLEWORTH","MAX CLEWORTH","Wrexham","Wrexham","CH",3,125237,0,FALSE
