"num","pos","player.x","player.y","club","team","league","total","player_id","dist","check_needed"
40,"D","DANNY COLLINGE","DANNY COLLINGE","Barnet","Barnet","L2",4,74869,0,FALSE
165,"D","JAKE CAPRICE","JAKE CAPRICE","Oldham","Oldham","L2",2,60564,0,FALSE
298,"D","EMMANUEL LONGELO","EMMANUEL MONTHE","Cambridge","Oldham","L2",1,75406,0.15,TRUE
385,"D","MYLES KENLOCK","MYLES KENLOCK","Barnet","Barnet","L2",1,87045,0,FALSE
396,"D","NIKOLA TAVARES","NIKOLA TAVARES","Barnet","Barnet","L2",1,120130,0,FALSE
405,"D","REAGAN OGLE","REAGAN OGLE","Oldham","Oldham","L2",1,99353,0,FALSE
410,"D","ROMONEY CRICHLOW","ROMONEY CRICHLOW","Bradford","Barnet","L2",1,118639,0,FALSE
487,"M","MARK SHELTON","MARK SHELTON","Barnet","Barnet","L2",12,81267,0,FALSE
510,"M","RYAN GLOVER","RYAN GLOVER","Barnet","Barnet","L2",10,135760,0,FALSE
534,"M","ZAK BRUNT","ZAK BRUNT","Barnet","Barnet","L2",9,133196,0,FALSE
552,"M","RHYS BROWNE","RHYS BROWNE","Barnet","Barnet","L2",8,86850,0,FALSE
704,"M","HARRY CHAPMAN","HARRY CHAPMAN","Barnet","Barnet","L2",4,90264,0,FALSE
795,"M","JESURUN UCHEGBULAM","JESURUN UCHEGBULAM","Oldham","Oldham","L2",3,165402,0,FALSE
864,"M","ANTHONY HARTIGAN","ANTHONY HARTIGAN","Barnet","Barnet","L2",2,105805,0,FALSE
887,"M","DAVID AJIBOYE","DAVID AMOS","Newport","Oldham","L2",2,200325,0.194871794871795,TRUE
904,"M","HARRY CHARSLEY","HARRY CHARSLEY","Oldham","Oldham","L2",2,99414,0,FALSE
909,"M","IDRIS KANU","IDRIS KANU","Barnet","Barnet","L2",2,97162,0,FALSE
926,"M","JOSH HAWKES","JOSH HAWKES","Tranmere","Oldham","L2",2,101331,0,FALSE
991,"M","RYAN WOODS","RYAN WOODS","Exeter","Oldham","L2",2,65422,0,FALSE
1132,"M","JOSH KAY","JOSH KAY","Oldham","Oldham","L2",1,89457,0,FALSE
1144,"M","KIERON MORRIS","KIERON MORRIS","Tranmere","Oldham","L2",1,68138,0,FALSE
1178,"M","OTIS KHAN","OTIS KHAN","Oldham","Oldham","L2",1,75196,0,FALSE
1239,"F","CALLUM STEAD","CALLUM STEAD","Barnet","Barnet","L2",18,160134,0,FALSE
1240,"F","MIKE FONDOP","MIKE FONDOP-TALUM","Oldham","Oldham","L2",18,92237,0.117647058823529,FALSE
1295,"F","EMMANUEL LATTE LATH","EMMANUEL MONTHE","Middlesbrough","Oldham","L2",11,75406,0.217251461988304,TRUE
1296,"F","JAMES NORWOOD","JAMES NORWOOD","Oldham","Oldham","L2",11,51911,0,FALSE
1375,"F","LEE NDLOVU","LEE NDLOVU","Barnet","Barnet","L2",6,90177,0,FALSE
1397,"F","JOE GARNER","JOE GARNER","Oldham","Oldham","L2",5,46036,0,FALSE
1461,"F","KIAN HARRATT","KIAN HARRATT","Oldham","Oldham","L2",3,126250,0,FALSE
1462,"F","KIAN HARRATT","KIAN HARRATT","Fleetwood","Oldham","L2",1,126250,0,FALSE
1484,"F","BILLY WATERS","BILLY WATERS","Oldham","Oldham","L2",2,67713,0,FALSE
1534,"F","DANNY INGS","DANNY COLLINGE","West Ham","Barnet","L2",1,74869,0.152380952380953,TRUE
1554,"F","KANE DRUMMOND","KANE DRUMMOND","Chesterfield","Oldham","L2",1,141224,0,FALSE
1556,"F","KOBEI MOORE","KOFI MOORE","Fleetwood","Oldham","L2",1,186898,0.093939393939394,TRUE
1569,"F","OLIVER HAWKINS","OLIVER HAWKINS","Gillingham","Barnet","L2",1,78816,0,FALSE
