"link","id","team_id","Team"
"KAL NAISMITH",62081,376,NA
"MATTY JAMES",51501,376,NA
"ALEX SCOTT",138049,376,NA
"JOE WILLIAMS",79782,376,NA
"ANDY KING",47450,376,NA
"ANIS MEHMETI",134964,376,NA
"MARK SYKES",84394,376,NA
"AYMAN BENAROUS",145788,376,NA
"DYLAN KADJI",154195,376,NA
"HAN-NOAH MASSENGO",117116,376,NA
"ELIJAH MORRISON",169922,376,NA
"OWURA EDWARDS",125178,376,NA
"HARRY CORNICK",72467,376,NA
"ANDREAS WEIMANN",55370,376,NA
"TOMMY CONWAY",134873,376,NA
"SAM BELL",136695,376,NA
"NAHKI WELLS",58194,376,NA
"ANTOINE SEMENYO",110364,376,NA
"OMAR TAYLOR-CLARKE",171863,376,NA
"MARLEE FRANCOIS",144707,376,NA
"OLLY THOMAS",173979,376,NA
"MATTHEW COX",133805,388,NA
"ALHAJI SESAY",117424,388,NA
"JAMES BELSHAW",51095,388,NA
"JED WARD",138594,388,NA
"ANSSI JAAKKOLA",58177,388,NA
"TRISTAN CRAMA",168588,388,NA
"GEORGE FRIEND",43702,388,NA
"PABLO MARTINEZ",128686,388,NA
"JAMES WILSON",41453,388,NA
"JAMES CONNOLLY",149130,388,NA
"LEWIS GORDON",129180,388,NA
"MARK HUGHES",41916,388,NA
"JAMES GIBBONS",94209,388,NA
"SAM HEAL",133395,388,NA
"CHARLIE WHITE",165865,388,NA
"TREVOR CLARKE",90737,388,NA
"THOMAS MEHEW",129525,388,NA
"LUKE THOMAS",88192,388,NA
"LUCAS TOMLINSON",123217,388,NA
"ZAIN WESTBROOKE",102627,388,NA
"JOSEPH BUDD",133393,388,NA
"JOSH GRANT",99407,388,NA
"SAM FINLEY",81221,388,NA
"SCOTT SINCLAIR",45990,388,NA
"GRANT WARD",81736,388,NA
"JORDAN ROSSITER",74167,388,NA
"ANTHONY EVANS",97327,388,NA
"LUKE MCCORMICK",107005,388,NA
"LUCA HOOLE",123218,388,NA
"JERRY LAWRENCE",145319,388,NA
"MALIK SESAY",149133,388,NA
"LINI BURDEN",165866,388,NA
"RYAN JONES",143732,388,NA
"RYAN JONES",166009,388,NA
"AIRIDAS VILINAUSKAS",145317,388,NA
"OWEN BRAIN",145320,388,NA
"LUCAS VAUGHAN",145318,388,NA
"MAX EDWARDS",149131,388,NA
"JEVANI BROWN",98726,388,NA
"OLIVER HULBERT",133391,388,NA
"BRETT PITMAN",40540,388,NA
"JOHN MARQUIS",52181,388,NA
"AARON COLLINS",78063,388,NA
"RYAN LOFT",90316,388,NA
"HARVEY GREENSLADE",146687,388,NA
"JARMANI LANGLAIS",143944,388,NA
"TYRON MBUENIMO",145310,388,NA
"MATTHEW COX",133805,388,NA
"TRISTAN CRAMA",168588,388,NA
"KAI MCKENZIE-LYLE",78530,483,NA
"JACK STEVENS",77617,483,NA
"JAMES HOLDEN",139296,483,NA
"WILL MANNION",91175,483,NA
"LOUIS CHADWICK",138596,483,NA
"JONAH GILL",149124,483,NA
"LIAM BENNETT",143435,483,NA
"DANNY ANDREW",71461,483,NA
"MICHAEL MORRISON",41763,483,NA
"RYAN BENNETT",46442,483,NA
"HARRISON DUNK",52728,483,NA
"JUBRIL ADESOPE OKEDINA",117865,483,NA
"ZENO ROSSI",130430,483,NA
"BRANDON HAUNSTRUP",86853,483,NA
"MAMADOU JOBE",143436,483,NA
"JORDAN COUSINS",57978,483,NA
"PAUL DIGBY",62538,483,NA
"JAMES BROPHY",86778,483,NA
"GEORGE THOMAS",73573,483,NA
"JACK LANKESTER",116465,483,NA
"ADAM MAY",82294,483,NA
